1061030	ÅÏÅç¿¹Ä®º½¸¶¡Êµì¡Ë¡ö	4207	14040	200207291200	201105121300
1061031	ÅÏÅç¿¹Ä®º½¸¶¡ö	4207	14040	201105121300	
1061130	ÅÏÅçËÌÅÍ»ÔÃæ±û¡Êµì¡Ë¡ö	4149	14039	200207291200	201105121300
1061131	ÅÏÅçËÌÅÍ»ÔËÜÄ®¡Êµì¡Ë¡ö	4153	14039	200207291200	201105121300
1061132	ÅÏÅçËÌÅÍ»ÔÃæ±û¡ö	4149	14039	201105121300	
1061133	ÅÏÅçËÌÅÍ»ÔËÜÄ®¡ö	4153	14039	201105121300	
1070000	ÅÏÅç¾¾Á°Ä®Ê¡»³	4126	14007	199511251500	
1070001	ÅÏÅç¾¾Á°Ä®À¶Éô	4131	14000	201307301200	
1070120	Ê¡ÅçÄ®Ê¡Åç¡ö	4129	14015	200603011200	
1070200	ÃÎÆâÄ®¾®Ã«ÀÐ	4132	14025	199802091100	
1070230	ÃÎÆâÄ®½ÅÆâ¡Êµì¡Ë¡ö	4136	14025	200207291200	201105121300
1070231	ÃÎÆâÄ®½ÅÆâ¡ö	4136	14025	201105121300	
1070320	ÌÚ¸ÅÆâÄ®ÌÚ¸ÅÆâ¡Êµì¡Ë¡ö	4141	14026	200603011200	201810291200
1070321	ÌÚ¸ÅÆâÄ®ÌÚ¸ÅÆâ¡ö	4141	14026	201810291200	
1100000	ÛØ»³¹¾º¹Ä®±¸¿À¡Êµì¡Ë	4152	14008	194199999999	202009121200
1100001	ÛØ»³¹¾º¹Ä®±¸¿À	4152	14007	202009121200	
1100020	ÛØ»³¹¾º¹Ä®Ãæ²ÎÄ®¡ö	4152	14008	200603011200	
1100100	¾å¥Î¹ñÄ®ÁáÀî	4141	14003	199407151200	199802091100
1100120	¾å¥Î¹ñÄ®Åò¥ÎÂÒ¡ö	4145	14015	200606201200	
1100121	¾å¥Î¹ñÄ®¾®º½»Ò¡ö	4139	14000	200606201200	
1100130	¾å¥Î¹ñÄ®ÂçÎ±¡Êµì¡Ë¡ö	4148	14007	200207291200	201105121300
1100131	¾å¥Î¹ñÄ®ÂçÎ±¡ö	4148	14007	201105121300	
1100220	¸üÂôÉôÄ®ÌÚ´ÖÆâ¡ö	4156	14022	200606201200	
1100230	¸üÂôÉôÄ®¿·Ä®¡Êµì¡Ë¡ö	4155	14014	200207291200	201105121300
1100231	¸üÂôÉôÄ®¿·Ä®¡ö	4155	14014	201105121300	
1100330	²µÉôÄ®ÎÐÄ®¡Êµì¡Ë¡ö	4158	14008	200207291200	201105121300
1100331	²µÉôÄ®ÎÐÄ®¡ö	4158	14008	201105121300	
1100820	º£¶âÄ®º£¶â¡ö	4226	14001	200603011200	
